song_id,title,artist,genre,album,popularity,mood,language,release_year,description
id_001,Song Title 1,Artist R,afrobeat,Album 5,54,happy,English,2016,A happy afrobeat song .
id_002,Song Title 2,Artist M,pop,Album 4,93,energetic,English,2018,A energetic pop song .
id_003,Song Title 3,Artist A,afrobeat,Album 15,68,upbeat,English,2022,A upbeat afrobeat song .
id_004,Song Title 4,Artist J,acoustic,Album 9,35,calm,English,2019,A calm acoustic song .
id_005,Song Title 5,Artist R,lofi,Album 15,82,chill,English,2021,A chill lofi song .
id_006,Song Title 6,Artist B,afrobeat,Album 5,10,energetic,English,2023,A energetic afrobeat song .
id_007,Song Title 7,Artist H,afrobeat,Album 20,44,happy,English,2015,A happy afrobeat song .
id_008,Song Title 8,Artist U,acoustic,Album 18,89,sad,English,2021,A sad acoustic song .
id_009,Song Title 9,Artist C,afrobeat,Album 18,13,energetic,English,2019,A energetic afrobeat song .
id_010,Song Title 10,Artist M,afrobeat,Album 4,100,energetic,English,2018,A energetic afrobeat song .
id_011,Song Title 11,Artist X,indie,Album 1,78,thoughtful,English,2016,A thoughtful indie song .
id_012,Song Title 12,Artist J,indie,Album 10,77,nostalgic,,2015,A nostalgic indie song .
id_013,Song Title 13,Artist E,lofi,Album 6,14,calm,English,2020,A calm lofi song .
id_014,Song Title 14,Artist R,acoustic,Album 15,8,peaceful,English,2018,A peaceful acoustic song .
id_015,Song Title 15,Artist I,afrobeat,Album 9,27,happy,English,2020,A happy afrobeat song .
id_016,Song Title 16,Artist L,lofi,Album 18,19,calm,English,2015,A calm lofi song .
id_017,Song Title 17,Artist M,indie,Album 7,47,thoughtful,English,2021,A thoughtful indie song .
id_018,Song Title 18,Artist Q,pop,Album 12,30,energetic,English,2017,A energetic pop song .
id_019,Song Title 19,Artist N,indie,Album 18,87,nostalgic,English,2015,A nostalgic indie song .
id_020,Song Title 20,Artist F,pop,Album 13,94,happy,English,2020,A happy pop song .
id_021,Song Title 21,Artist M,lofi,Album 6,14,calm,English,2023English,A calm lofi song .
id_022,Song Title 22,Artist U,acoustic,Album 13,37,calm,English,2018,A calm acoustic song .
id_023,Song Title 23,Artist I,lofi,Album 5,85,calm,English,2023,A calm lofi song .
id_024,Song Title 24,Artist P,acoustic,Album 17,72,calm,English,2019,A calm acoustic song .
id_025,Song Title 25,Artist F,pop,Album 7,80,energetic,English,2015,A energetic pop song .
id_026,Song Title 26,Artist C,lofi,Album 1,3,calm,English,2017,A calm lofi song .
id_027,Song Title 27,Artist B,lofi,Album 14,50,chill,English,2018,A chill lofi song .
id_028,Song Title 28,Artist T,lofi,Album 17,52,chill,English,2023,A chill lofi song .
id_029,Song Title 29,Artist F,lofi,Album 12,90,chill,English,2023,A chill lofi song .
id_030,Song Title 30,Artist H,acoustic,Album 18,46,calm,English,2018,A calm acoustic song .
id_031,Song Title 31,Artist H,acoustic,Album 6,29,sad,English,2021,A sad acoustic song .
id_032,Song Title 32,Artist L,pop,Album 8,61,energetic,English,2018,A energetic pop song .
id_033,Song Title 33,Artist V,pop,Album 3,69,energetic,English,2020,A energetic pop song .
id_034,Song Title 34,Artist A,pop,Album 3,90,energetic,English,2019,A energetic pop song .
id_035,Song Title 35,Artist C,indie,Album 18,88,nostalgic,English,2022,A nostalgic indie song .
id_036,Song Title 36,Artist I,acoustic,Album 13,20,peaceful,English,2023,A peaceful acoustic song .
id_037,Song Title 37,Artist P,pop,Album 20,28,happy,English,2016,A happy pop song .
id_038,Song Title 38,Artist M,acoustic,Album 9,60,peaceful,English,2023,A peaceful acoustic song .
id_039,Song Title 39,Artist I,afrobeat,Album 8,92,happy,English,2018,A happy afrobeat song .
id_040,Song Title 40,Artist G,pop,Album 12,84,happy,English,2019,A happy pop song .
id_041,Song Title 41,Artist C,pop,Album 11,18,happy,English,2018,A happy pop song .
id_042,Song Title 42,Artist S,afrobeat,Album 1,75,happy,English,2016,A happy afrobeat song .
id_043,Song Title 43,Artist H,lofi,Album 6,66,chill,English,2019,A chill lofi song .
id_044,Song Title 44,Artist O,lofi,Album 9,18,calm,English,2021,A calm lofi song .
id_045,Song Title 45,Artist B,acoustic,Album 17,28,peaceful,English,2016,A peaceful acoustic song .
id_046,Song Title 46,Artist N,acoustic,Album 14,46,sad,English,2020,A sad acoustic song .
id_047,Song Title 47,Artist I,acoustic,Album 17,84,sad,English,2019,A sad acoustic song .
id_048,Song Title 48,Artist V,acoustic,Album 20,99,calm,English,2023,A calm acoustic song .
id_049,Song Title 49,Artist E,acoustic,Album 6,54,peaceful,English,2019,A peaceful acoustic song .
id_050,Song Title 50,Artist X,indie,Album 9,80,nostalgic,English,2015,A nostalgic indie song .
id_051,Song Title 51,Artist B,indie,Album 6,78,nostalgic,English,2023,A nostalgic indie song .
